ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCKRSPO23N000000011,관광명소,관광명소_지역명소,2014 안양시민축제,41,경기도,41173,안양시,4117310300,평촌동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895 중앙공원관리부속,"149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do",4272037022,중앙공원관리부속,4117310300108950000000001,031-687-0500,24235,http://www.ayac.or.kr,37,126,문화정보원,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송+ 거리공연 등,20240604,20240604
KCKRSPO23N000000012,관광명소,관광명소_지역명소,2017 안양충훈벚꽃축제,41,경기도,41171,안양시,4117110200,석수동,411713182011,경기도 안양시 만안구 석수로 159 (석수동),경기도 안양시 만안구 석수동 797,"159 Seoksu-ro, Manan-gu, Anyang-si, Gyeonggi-do",4279034000,,4117110200107970000000001,031-687-0500,24264,http://www.ayac.or.kr,37,126,문화정보원,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,20240604,20240604
KCKRSPO23N000000013,관광명소,관광명소_지역명소,2017 안양 아줌마축제,41,경기도,41173,안양시,4117310300,평촌동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895 중앙공원관리부속,"149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do",4273033026,중앙공원관리부속,4117310300108950000000001,031-687-0500,24239,http://www.ayac.or.kr,37,126,문화정보원,아줌마 축제 기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,20240604,20240604
KCKRSPO23N000000014,관광명소,관광명소_지역명소,2017 광복기념음악회,41,경기도,41171,안양시,4117110100,안양동,411714346076,경기도 안양시 만안구 문예로36번길 16 (안양동),경기도 안양시 만안구 안양동 549,"16 Munye-ro 36beon-gil, Manan-gu, Anyang-si, Gyeonggi-do",4182033025,,4117110100105500000014155,031-687-0500,24302,http://www.ayac.or.kr,37,126,문화정보원,안양필하모닉 오케스트라연주+ 안양시립합창단 공연 등 (우천으로 안양아트센터 관악홀 실내 진행),20240604,20240604
KCKRSPO23N000000015,관광명소,관광명소_지역명소,2017 안양 시민축제,41,경기도,41173,안양시,4117310300,평촌동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895 중앙공원관리부속,"149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do",4182032524,중앙공원관리부속,4117310300108950000000001,031-687-0500,24264,http://www.ayac.or.kr,37,126,문화정보원,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,20240604,20240604
KCKRSPO23N000000016,관광명소,관광명소_축제,2018 안양충훈벚꽃축제,41,경기도,41171,안양시,4117110200,석수동,411713182011,경기도 안양시 만안구 석수로 159 (석수동),경기도 안양시 만안구 석수동 797,"159 Seoksu-ro, Manan-gu, Anyang-si, Gyeonggi-do",4272025000,,4117110200107970000000001,031-687-0500,24420,http://www.ayac.or.kr,37,126,문화정보원,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,20240604,20240604
KCKRSPO23N000000017,관광명소,관광명소_지역명소,2018 안양여성축제,41,경기도,41173,안양시,4117310300,평촌동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895 중앙공원관리부속,"149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do",4128510400,중앙공원관리부속,4117310300108950000000001,031-687-0500,24441,http://www.ayac.or.kr,37,126,문화정보원,기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,20240604,20240604
KCKRSPO23N000000018,관광명소,관광명소_축제,2018 광복기념음악회,41,경기도,41171,안양시,4117110100,안양동,411713182007,경기도 안양시 만안구 병목안로 215 (안양동),경기도 안양시 만안구 안양동 산82-2 병목안시민공원관리사무소,"215 Byeongmogan-ro, Manan-gu, Anyang-si, Gyeonggi-do",4283025000,병목안시민공원관리사무소,4117110100112190177000001,031-687-0500,24336,http://www.ayac.or.kr,37,126,문화정보원,뮤지컬 그룹 플래티넘+ 안양시립합창단 공연 등,20240604,20240604
KCKRSPO23N000000019,관광명소,관광명소_지역명소,2018 안양 시민축제,41,경기도,41173,안양시,4117310300,평촌동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895 중앙공원관리부속,"149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do",4129010600,중앙공원관리부속,4117310300108950000000001,031-687-0500,24461,http://www.ayac.or.kr,37,126,문화정보원,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,20240604,20240604
KCKRSPO23N000000020,관광명소,관광명소_축제,마곡사 신록축제,44,충청남도,44150,공주시,4415039029,사곡면 운암리,441503251011,충청남도 공주시 사곡면 마곡사로 966,충청남도 공주시 사곡면 운암리 567 마곡사,"966 Magoksa-ro, Sagok-myeon, Gongju-si, Chungcheongnam-do",4283025000,마곡사,4415039029200740002029443,041-840-2056,24264,,36,127,문화정보원,전시 운영+백범명상길 걷기+마곡사 보물찾기 등,20240604,20240604
KCKRSPO23N000000021,관광명소,관광명소_지역명소,제68회 백제문화제,44,충청남도,44150,공주시,4415012000,신관동,441503251008,충청남도 공주시 금벽로 368 (신관동),충청남도 공주시 신관동 553,"368 Geumbyeok-ro, Gongju-si, Chungcheongnam-do",4161035021,,4415012000105530000759980,041-840-8112,24264,https://www.baekje.org/kor/,36,127,문화정보원,웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매,20240604,20240604
KCKRSPO23N000000022,관광명소,관광명소_지역명소,제5회 겨울공주 군밤축제,44,,44150,,4415011000,금학동,,충청남도 공주시 금학동 111-1,충청남도 공주시 금학동 111-1,,4161035000,,,041-840-2056,24264,,36,127,문화정보원,알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등,20240604,20240604
KCKRSPO23N000000023,관광명소,관광명소_지역명소,제1회 유구색동수국정원 꽃축제,,,,,,,,강원특별자치도 춘천시 서부대성로 71 (옥천동),강원특별자치도 춘천시 옥천동 73-2 춘천예술마당,"71 Seobudaeseong-ro, Chuncheon-si, Gangwon-do",4161037021,춘천예술마당,4211010700100730002002079,041-840-8111,24327,,32,123,문화정보원,공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등,20240604,20240604
KCKRSPO23N000000024,관광명소,관광명소_지역명소,보이지 않아도 보이는,51,강원특별자치도,51110,춘천시,5111012500,삼천동,421104454446,강원도 춘천시 스포츠타운길399번길 25 어린이회관,강원특별자치도 춘천시 삼천동 223-2,,4161010800,,,,24239,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10597&search_type=1&search_keyword=EBB3B4EC9DB4ECA780+EC958AEC9584EB8F84+EBB3B4EC9DB4EB8A94,37,127,문화정보원,"전시장에서 작품을 관람하고자 할 때, 종종 만지지 마세요 눈으로만 보세요.’ 라는 글귀가 있다. 그러면 작품을 볼 수 없는 시작장애인에게 작품 감상은 불가능하다. 이번 전시는 장애인과 같이 문화적 소외자들에게도 작품 감상의 기회를 만들어 시각 예술 분야의 한계성을 극복해보고자 하는 전시이다.",20240604,20240604
KCKRSPO23N000000025,관광명소,관광명소_지역명소,Creative energy_김정현 개인展,51,강원특별자치도,51110,춘천시,5111010700,옥천동,421103218018,강원특별자치도 춘천시 서부대성로 71 (옥천동),강원특별자치도 춘천시 옥천동 73-2 춘천예술마당,"71 Seobudaeseong-ro, Chuncheon-si, Gangwon-do",4161034030,춘천예술마당,4211010700100730002002079,033-241-1856,24271,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10594&search_type=1&search_keyword=Creative+energy_EAB980ECA095ED9884+EAB09CEC9DB8E5B195,37,127,문화정보원,김정현 개인전,20240604,20240604
KCKRSPO23N000000026,관광명소,관광명소_지역명소,2022년 강원PAX아라리 제 3회 정기연주회,51,강원특별자치도,51110,춘천시,5111012400,석사동,421103218031,강원특별자치도 춘천시 우석로 70 (석사동),강원특별자치도 춘천시 석사동 95-3 국립춘천박물관,"70 Useok-ro, Chuncheon-si, Gangwon-do",4131010300,국립춘천박물관,4211012400200270001015797,,24455,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10591&search_type=1&search_keyword=2022EB8584+EAB095EC9B90PAXEC9584EB9DBCEBA6AC+ECA09C+3ED9A8C+ECA095EAB8B0EC97B0ECA3BCED9A8C,37,127,문화정보원,"강원팍스아라리 주관으로 수원대학교 교수 박영란 작곡가에게 위촉한 6곡의 아리랑을 피아노(4명의 피아니스트)와 국악기(7명의 국악기 연주자)가 함께 앙상블로 연주한다. 국악과 양악의 콜라보레이션으로서, 한국 전통 민요인 아리랑을 새롭게 재창조하며 다채로운 해석을 통하여 대중적으로 다가가는 공연이 될 것이다.",20240604,20240604
KCKRSPO23N000000027,관광명소,관광명소_지역명소,제4회 대청호 벚꽃축제,,,,,,,,경기도 동두천시 어등로 45 (생연동),경기도 동두천시 생연동 70 동두천시종합운동장,"45 Eodeung-ro, Dongducheon-si, Gyeonggi-do",4131010600,동두천시종합운동장,4125010300100700000000333,042-251-6686,24336,https://www.donggu.go.kr/dg/tour/contents/988,32,123,문화정보원,벚꽃 아트길+온라인 공연+경연대회,20240604,20240604
KCKRSPO23N000000028,관광명소,관광명소_지역명소,제5회 대청호 벚꽃축제,,,,,,,,경기도 동두천시 어수로 8 (상패동),경기도 동두천시 상패동 122-2 상패동주민센터,"8 Eosu-ro, Dongducheon-si, Gyeonggi-do",4141010400,상패동주민센터,4125011200101220002000251,042-251-6686,24336,https://www.donggu.go.kr/dg/tour/contents/988,32,123,문화정보원,벚꽃콘서트+경연대회+푸드트럭+체험프로그램 등,20240604,20240604
KCKRSPO23N000000029,관광명소,관광명소_지역명소,동두천 청소년 별자리과학 축제,41,경기도,41250,동두천시,4125010300,생연동,412503189020,경기도 동두천시 어등로 45 (생연동),경기도 동두천시 생연동 70 동두천시종합운동장,"45 Eodeung-ro, Dongducheon-si, Gyeonggi-do",4141010700,동두천시종합운동장,4125010300100700000000333,031-860-2857,24341,http://www.ddc.go.kr,37,127,문화정보원,경기북부지역 청소년들의 과학과 수학에 대한 자신감과 흥미유발,20240604,20240604
KCKRSPO23N000000030,관광명소,관광명소_지역명소,동두천락페스티벌,,,,,,,,경기도 동두천시 상패로216번길 42 (보산동),경기도 동두천시 보산동 429-4,"42 Sangpae-ro 216beon-gil, Dongducheon-si, Gyeonggi-do",4141010400,,4125010600104290004001067,031-860-2105,24341,https://www.ddc.go.kr/tour/contents.do?key=269,32,123,문화정보원,전국락밴드경연 및 락 뮤지션 초청공연,20240604,20240604
KCKRSPO23N000000031,관광명소,관광명소_지역명소,2023 제7회 이담농악두드림대축제,41,경기도,41250,동두천시,4125010300,생연동,412503189031,경기도 동두천시 중앙로 268 (생연동),경기도 동두천시 생연동 594-1,"268 Jungang-ro, Dongducheon-si, Gyeonggi-do",4141010400,,4125010300105940001000034,031-860-3331,24336,http://www.ddc.go.kr,37,127,문화정보원,동두천시 무형문화재 제3호 이담농악보존회에서 주관하는 축제,20240604,20240604
KCKRSPO23N000000032,관광명소,관광명소_지역명소,제4회 동두천 국제 트레일러닝 대회,41,경기도,41250,동두천시,4125010300,생연동,412503189020,경기도 동두천시 어등로 45 (생연동),경기도 동두천시 생연동 70 동두천시종합운동장,"45 Eodeung-ro, Dongducheon-si, Gyeonggi-do",4141010600,동두천시종합운동장,4125010300100700000000333,031-860-2209,24355,http://www.korea50k.com,37,127,문화정보원,천혜의 자연 경관을 바탕으로 명실상부한 국내 최고의 트레일러닝대회,20240604,20240604
KCKRSPO23N000000033,관광명소,관광명소_지역명소,상패남산축제,41,경기도,41250,동두천시,4125011200,상패동,412503189021,경기도 동두천시 어수로 8 (상패동),경기도 동두천시 상패동 122-2 상패동주민센터,"8 Eosu-ro, Dongducheon-si, Gyeonggi-do",4141010600,상패동주민센터,4125011200101220002000251,031-860-3172,24373,http://www.ddc.go.kr,37,127,문화정보원,공연+체험+먹거리장터 등,20240604,20240604
KCKRSPO23N000000034,관광명소,관광명소_지역명소,동두천시 자원봉사 축제,41,경기도,41250,동두천시,4125010200,지행동,412503189031,경기도 동두천시 중앙로 125 (지행동),경기도 동두천시 지행동 691-5 영스포렉스,"125 Jungang-ro, Dongducheon-si, Gyeonggi-do",4157034032,영스포렉스,4125010200106910005008882,031-860-2089,24336,http://www.ddc.go.kr,37,127,문화정보원,자원봉사자와 시민·청소년 모두가 하나되는 나눔의 장,20240604,20240604
KCKRSPO23N000000035,관광명소,관광명소_지역명소,DDC할로윈클럽데이,41,경기도,41250,동두천시,4125010600,보산동,412504367075,경기도 동두천시 상패로216번길 42 (보산동),경기도 동두천시 보산동 429-4,"42 Sangpae-ro 216beon-gil, Dongducheon-si, Gyeonggi-do",4157034032,,4125010600104290004001067,031-860-2627,24428,http://www.ddc.go.kr,37,127,문화정보원,할로윈데이를 모티브로 한 젊은층 맞춤형 페스티벌,20240604,20240604
KCKRSPO23N000000036,관광명소,관광명소_지역명소,제5회 연제고분판타지축제,,,,,,,,부산광역시 영도구 해양로301번길 55 (동삼동),부산광역시 영도구 동삼동 1165,"55 Haeyang-ro 301beon-gil, Yeongdo-gu, Busan",4157010300,,2620012100111650000000001,051-665-4064,24336,,32,123,문화정보원,역사문화행사,20240604,20240604
KCKRSPO23N000000037,관광명소,관광명소_지역명소,(가칭)오산 산타 마켓,41,경기도,41370,오산시,4137010300,원동,413704394131,경기도 오산시 원동로37번길 37-1 (원동),경기도 오산시 원동 776-8 롯데리아,"37-1 Wondong-ro 37beon-gil, Osan-si, Gyeonggi-do",4157035030,롯데리아,4137010300107760008002524,031-8036-7608,25517,https://www.osan.go.kr/main.do,37,127,문화정보원,마켓운영+경관조명,20240604,20240604
KCKRSPO23N000000038,관광명소,관광명소_지역명소,여주도자기축제,41,경기도,41670,여주시,4167012000,천송동,416704442277,경기도 여주시 신륵사길 7 (천송동),경기도 여주시 천송동 297-1 여주세계생활도자관,"7 Silleuksa-gil, Yeoju-si, Gyeonggi-do",4157035029,여주세계생활도자관,4173025040102920001058692,031-881-9693,24239,www.yjcf.or.kr,37,127,문화정보원,"여주 도자기 전시 및 판매, 공연 등",20240604,20240604
KCKRSPO23N000000039,관광명소,관광명소_지역명소,크랩킹페스타,,,,,,,,인천광역시 부평구 신트리로 21 (부평동),인천광역시 부평구 부평동 880 북구도서관,"21 Sinteuri-ro, Bupyeong-gu, Incheon",4157010700,북구도서관,2823710100108800000103987,033-530-2111,24336,,32,123,문화정보원,"개막식, 먹거리장터, 공연행사,크랩뜰낚시체험, 크랩맨손잡기",20240604,20240604
KCKRSPO23N000000040,관광명소,관광명소_지역명소,2024얼음나라 화천 산천어축제,51,강원특별자치도,51790,화천군,5179025023,화천읍 중리,427904493062,강원특별자치도 화천군 화천읍 산천어길 137,강원특별자치도 화천군 화천읍 중리 186-5,"137 Sancheoneo-gil, Hwacheon-eup, Hwacheon-gun, Gangwon-do",4125010900,,4279025023000000000007890,1688-3000,24246,www.narafestival.com,38,127,문화정보원,얼음낚시+맨손잡기+눈얼음체험+얼음조각광장 등,20240604,20240604
KCKRSPO23N000000041,관광명소,관광명소_축제,2024 대구앞산축제(제29회 대덕제),27,대구광역시,27200,남구,2720010200,봉덕동,272004232016,대구광역시 남구 고산4길 71 (봉덕동),대구광역시 남구 봉덕동 1272-1,"71 Gosan 4-gil, Nam-gu, Daegu",4283025000,,2720010200112720001000002,053-664-3262,24412,,35,128,문화정보원,앞산을 배경으로 다양한 체험프로그램과 문화예술 공연이 있는 주민화합 축제,20240604,20240604
KCKRSPO23N000000042,관광명소,관광명소_축제,영도다리축제,26,부산광역시,26200,영도구,2620012100,동삼동,262004184392,부산광역시 영도구 해양로301번길 55 (동삼동),부산광역시 영도구 동삼동 1165,"55 Haeyang-ro 301beon-gil, Yeongdo-gu, Busan",4276034000,,2620012100111650000000001,051-419-4064,14259,http://www.yeongdo.go.kr/ydfestival.web,35,129,문화정보원,개막주제공연+축하공연+불꽃쇼+퍼레이드+체험행사 등,20240604,20240604
KCKRSPO23N000000043,관광명소,관광명소_축제,영도커피페스티벌,26,부산광역시,26200,영도구,2620012100,동삼동,262004184392,부산광역시 영도구 해양로301번길 55 (동삼동),부산광역시 영도구 동삼동 1165,"55 Haeyang-ro 301beon-gil, Yeongdo-gu, Busan",4276032000,,2620012100111650000000001,051-419-6332,14320,https://www.yeongdo.go.kr/yd_coffee_festival.web,35,129,문화정보원,개막주제공연+축하공연+체험행사 등,20240604,20240604
KCKRSPO23N000000044,관광명소,관광명소_축제,2023 과천공연예술축제,41,경기도,41290,과천시,4129010700,중앙동,412903195051,경기도 과천시 통영로 5 (중앙동),경기도 과천시 중앙동 6-2 과천시민회관,"5 Tongyeong-ro, Gwacheon-si, Gyeonggi-do",4275025000,과천시민회관,4129010700100060002000751,02-2009-9732,14234,http://www.gcfest.or.kr,37,126,문화정보원,시민주도형 예술축제,20240604,20240604
KCKRSPO23N000000045,관광명소,관광명소_축제,2024고령 대가야축제,47,경상북도,47830,고령군,4783025326,대가야읍 지산리,478303320005,경상북도 고령군 대가야읍 대가야로 1216,경상북도 고령군 대가야읍 지산리 471-1 대가야역사테마관광지,"1216 Daegaya-ro, Daegaya-eup, Goryeong-gun, Gyeongsangbuk-do",4278025600,대가야역사테마관광지,4783025026104740001025140,054-950-6424,14259,http://www.festdgy.com/,35,128,문화정보원,"체험프로그램, 악성우륵추모제, 가야금 100대 공연, 야간특별프로그램, 불꽃쇼, 인기가수 공연 등",20240604,20240604
KCKRSPO23N000000046,관광명소,관광명소_축제,2020 부평풍물대축제,28,인천광역시,28237,부평구,2823710100,부평동,282373154039,인천광역시 부평구 신트리로 21 (부평동),인천광역시 부평구 부평동 880 북구도서관,"21 Sinteuri-ro, Bupyeong-gu, Incheon",4281031000,북구도서관,2823710100108800000103987,032-509-7516,14295,https://portal.icbp.go.kr/bpf/,37,126,문화정보원,다큐멘터리 제작+지역 문화예술인 참여 소규모 공연 등,20240604,20240604
KCKRSPO23N000000047,관광명소,관광명소_축제,2023계룡軍문화축제,,,,,,,,제주특별자치도 제주시 오남로 221 (오라이동),제주특별자치도 제주시 오라이동 899-3,"221 Onam-ro, Jeju-si, Jeju-do",4213038000,,5011012000108990003000001,042-840-2623,14240,http://m-festival.org/,32,123,문화정보원,"개막식,전시관, 체험, 공연·경연, 부대행사등",20240604,20240604
KCKRSPO23N000000048,관광명소,관광명소_축제,휴애리 유럽 수국축제,50,제주특별자치도,50130,서귀포시,5013025329,남원읍 신례리,501303350180,제주특별자치도 서귀포시 남원읍 신례동로 256,제주특별자치도 서귀포시 남원읍 신례리 2081 휴애리,"256 Sillyedong-ro, Namwon-eup, Seogwipo-si, Jeju-do",4213025000,휴애리,5013025329120150004000001,064-732-2114,63608,hueree.com,33,126,문화정보원,동물먹이주기체험 전통놀이체험,20240604,20240604
KCKRSPO23N000000049,관광명소,관광명소_축제,상효원수목원 봉선화축제,50,제주특별자치도,50130,서귀포시,5013010700,상효동,501303020010,제주특별자치도 서귀포시 산록남로 2847-37 (상효동),제주특별자치도 서귀포시 상효동 산25,"2847-37 Sallongnam-ro, Seogwipo-si, Jeju-do",4280025000,,5013010700200250000009247,064-733-2200,14259,www.sanghyowon.com/,33,126,문화정보원,2014년 4월에 개원하여 운영하고 있는 제주도 서귀포시 돈내코 인근 중산간에 위치한 힐링 수목원 상효원에서 여름을 맞이하여 수국전시에 이어 산파첸스 축제가 열린다,20240604,20240604
KCKRSPO23N000000050,관광명소,관광명소_지역명소,2023제주애니아일랜드페스티벌,50,제주특별자치도,50130,서귀포시,5013010500,동홍동,501304850965,제주특별자치도 서귀포시 태평로537번길 40-9 (동홍동),제주특별자치도 서귀포시 동홍동 646-1 서귀포노인복지회관,"40-9 Taepyeong-ro 537beon-gil, Seogwipo-si, Jeju-do",4163034024,서귀포노인복지회관,5013010500106460001039201,064-766-0707,14245,naver.me/I5464pEC,33,126,문화정보원,캐릭터 전시·캐릭터 마켓·캐릭터 놀이터·나만의 모자 만들기 체험·다양한 공연·애니 상영회·캐릭터 페이스 페인팅,20240604,20240604
KCKRSPO23N000000051,관광명소,관광명소_축제,제13회 산지천축제,50,제주특별자치도,50110,제주시,5011010100,일도일동,501104848886,제주특별자치도 제주시 칠성로길 48 (일도일동),제주특별자치도 제주시 일도일동 1211,"48 Chilseongno-gil, Jeju-si, Jeju-do",4280025000,,5011010100112110000061776,064-728-4655,14245,,33,126,문화정보원,산지천 토크와 컨퍼런스·길트기·개막공연·문화예술공연·시니어모델 패션쇼·청소년 댄스 콘테스트·산지천 소망등 띄우기·산지천 물총파티·촘대 광어 낚시·RC보트 투어링·산지천 로드드로잉·산지천 전시회· 스탬프투어·어린이 장터 등,20240604,20240604
KCKRSPO23N000000052,관광명소,관광명소_지역명소,아트 트랙 제주 2023,50,제주특별자치도,50110,제주시,5011025324,애월읍 구엄리,501103349236,제주특별자치도 제주시 애월읍 일주서로 6935,제주특별자치도 제주시 애월읍 구엄리 50-1,"6935 Iljuseo-ro, Aewol-eup, Jeju-si, Jeju-do",4183040033,,5011025324100500001000001,070-4367-6329,61758,www.instagram.com/speeker_official,33,126,문화정보원,제주 전역을 전시장으로 한 제주를 여행하며 문화예술을 즐기는 아트 트랙 제주 2023,20240604,20240604
